fichier_source_elzeard,nom_elzeard,nom_otf,callback
series,Année de production,season,
,,series_id,
series,Nom de la série,series_name,
productions,Mode de culture,mode,
,,use,
itks,Culture,species,
series,Type d'implantation,planting_type,
itks,Graines/plant ou poquet,seeds_per_hole,
export-variétés,Plants/plateau,young_plants_tray,
series,Semaine implantation,sowing_date,
series,Semaine implantation,planting_date,
series,Début récolte,first_harvest_date,
series,Fin récolte,last_harvest_date,
series,Surface (m²),block_area,
itks,Densité (plants/m²),block_density,
itks,Ecartement inter-rang (cm),block_spacing_rows,
itks,Ecartement dans le rang (cm),block_spacing_plants,
,,bed_length,
,,bed_density,
,,bed_rows,
,,bed_spacing_plants,
,,finished,
series,Unité de rendement,harvest_unit,
series,Rendement agronomique,yield_expected_area,
series,Variété,variety_name,
,,variety_part,
